N1,N2,T_split,MigRate,Fst,dxy,segsites1,segsites2,pi1,pi2,tajima1,tajima2
150000,5000,7139,0,0.10303705783111439,0.09460183999999884,0.3839,0.1934,0.09158008163265079,0.062275755102040566,0.25110660960105685,1.6195923159973622
150000,5000,7161,0,0.32189739896613145,0.0983515199999984,0.4003,0.1076,0.09659257142856895,0.004311510204081558,0.2962320811522973,-3.000383225335703
150000,5000,6023,0,0.103344567796821,0.10174815999999817,0.4214,0.1795,0.09972693877550731,0.06564848979591789,0.2200067504986015,2.3364116481264756
150000,5000,6397,0,0.118774818252805,0.096439919999999,0.4116,0.194,0.09737551020407888,0.05455012244897983,0.21871866364366985,0.9501388336844093
150000,5000,8366,0,0.2778996210430382,0.10298847999999852,0.3997,0.1093,0.10090195918367055,0.015489061224489958,0.4791551886569429,-1.3356504327833911
150000,5000,8711,0,0.10709521324034277,0.10185607999999872,0.3878,0.1509,0.10037910204081418,0.06392073469387739,0.5841665566131294,3.2842361344045536
150000,5000,5368,0,0.0742606943012406,0.09409951999999853,0.3894,0.222,0.09284799999999777,0.0693316734693875,0.24924989937601597,1.4608161753023805
150000,5000,8702,0,0.15055210830921406,0.09672599999999855,0.3799,0.0918,0.09615044897958931,0.046674367346939,0.4898021357085395,4.6686105284499115
150000,5000,7878,0,0.10078568126801102,0.11034807999999857,0.434,0.1838,0.10605330612244629,0.07422987755102087,0.3465161234124544,2.9618569006034563
150000,5000,8016,0,0.3038561042784381,0.10007503999999857,0.3901,0.1043,0.09619004081632382,0.0106724081632652,0.3828527241341464,-1.980528790528643
150000,5000,6781,0,0.18517793938635474,0.10251719999999834,0.4037,0.1911,0.09792742857142597,0.043035836734694334,0.31715172974801054,0.03192712111872
150000,5000,7297,0,0.11489051641202608,0.10486807999999825,0.4023,0.1497,0.10013787755101759,0.06637126530612326,0.42119999436340444,3.608186760133162
150000,5000,8253,0,0.2973403937398982,0.1114531999999984,0.3999,0.0661,0.10450089795918141,0.01622865306122448,0.6248100554433904,0.36396334803257985
150000,5000,8154,0,0.13101625588060273,0.09644111999999856,0.3912,0.106,0.0951959999999975,0.052999510204082036,0.3297632165518711,4.532561673434703
150000,5000,9778,0,0.29061748997051096,0.09804799999999864,0.3623,0.0641,0.09394955102040614,0.013833795918367472,0.5918762182478462,-0.12158240144116862
150000,5000,7619,0,0.11583753719793533,0.09251167999999903,0.3965,0.1455,0.09636163265305889,0.05024636734693789,0.3246297050520943,2.001142134154696
150000,5000,7931,0,0.22774485717130932,0.10224895999999858,0.4046,0.1253,0.10209763265305909,0.02653216326530614,0.477484151734643,-0.18851683995106436
150000,5000,7649,0,0.15975777452202589,0.09604087999999869,0.3807,0.138,0.0926213877550999,0.04654146938775491,0.3289147596084829,1.868491431522703
150000,5000,7827,0,0.337533935158533,0.09596199999999816,0.3974,0.0003,0.0950204897959161,3.738775510204082e-05,0.26019919425477955,-0.9128082818206592
150000,5000,8668,0,0.16804845880108932,0.0996021599999982,0.4025,0.0995,0.09834799999999753,0.04353681632653159,0.34617427397736056,3.5092149652960116
150000,5000,5955,0,0.1554420503729379,0.09918783999999872,0.408,0.1116,0.10012310204081376,0.04487746938775408,0.36352719527971217,2.9301006391973776
150000,5000,4892,0,0.11064816695567803,0.09732871999999845,0.4149,0.1747,0.09566824489795607,0.06020375510204117,0.1202844736597612,1.9900148245832487
