==================================================================
fastsimcoal started on 26/06/2025 at 14:44:46

TMRCAs per non-recombining segment
Locus	Segment_length	Data_Type	Time_(gen)	deme	Num_Mutations
244	1	data unknown	960.125	0	0
245	1	data unknown	1291.95	0	0
246	1	data unknown	1248.04	0	0
247	1	data unknown	831.009	0	0
248	1	data unknown	70.4193	0	0
249	1	data unknown	2772.01	0	0
250	1	data unknown	1374.75	0	0
251	1	data unknown	2130.14	0	0
252	1	data unknown	354.576	0	0
253	1	data unknown	603.062	0	0
254	1	data unknown	781.796	0	0
255	1	data unknown	1760.81	0	0
256	1	data unknown	2388.88	0	0
257	1	data unknown	3184.3	0	0
258	1	data unknown	454.75	0	0
259	1	data unknown	1990.73	0	0
260	1	data unknown	2479.96	0	0
261	1	data unknown	1075.23	0	0
262	1	data unknown	1562.64	0	0
263	1	data unknown	3468.07	0	0
264	1	data unknown	3001.01	0	0
265	1	data unknown	2187.55	0	0
266	1	data unknown	4172.87	0	0
267	1	data unknown	771.965	0	0
268	1	data unknown	958.393	0	0
269	1	data unknown	2200.64	0	0
270	1	data unknown	1644.57	0	0
271	1	data unknown	2295.9	0	0
272	1	data unknown	2298.54	0	0
273	1	data unknown	969.952	0	0
274	1	data unknown	564.346	0	0
275	1	data unknown	559.177	0	0
276	1	data unknown	844.501	0	0
277	1	data unknown	1379.06	0	0
278	1	data unknown	2075.75	0	0
279	1	data unknown	680.87	0	0
280	1	data unknown	1666.92	0	0
281	1	data unknown	1815.78	0	0
282	1	data unknown	1230.03	0	0
283	1	data unknown	606.136	0	0
284	1	data unknown	1085.27	0	0
285	1	data unknown	1339.15	0	0
286	1	data unknown	1714.59	0	0
287	1	data unknown	1329.15	0	0
288	1	data unknown	591.4	0	0
289	1	data unknown	548.767	0	0
290	1	data unknown	999.084	0	0
291	1	data unknown	1949.42	0	0
292	1	data unknown	748.001	0	0
293	1	data unknown	2099.83	0	0
294	1	data unknown	995.506	0	0
295	1	data unknown	1365.76	0	0
296	1	data unknown	703.072	0	0
297	1	data unknown	673.985	0	0
298	1	data unknown	1321.05	0	0
299	1	data unknown	2429.65	0	0
300	1	data unknown	965.874	0	0
301	1	data unknown	1846.24	0	0
302	1	data unknown	529.137	0	0
303	1	data unknown	1987.47	0	0
304	1	data unknown	2352.36	0	0
305	1	data unknown	878.403	0	0
306	1	data unknown	507.5	0	0
307	1	data unknown	643.166	0	0
308	1	data unknown	590.782	0	0
309	1	data unknown	741.192	0	0
310	1	data unknown	546.417	0	0
311	1	data unknown	995.388	0	0
312	1	data unknown	1425.57	0	0
313	1	data unknown	1010.05	0	0
314	1	data unknown	914.654	0	0
315	1	data unknown	1470.4	0	0
316	1	data unknown	861.511	0	0
317	1	data unknown	1723.79	0	0
318	1	data unknown	1487.01	0	0
319	1	data unknown	686.535	0	0
320	1	data unknown	713.249	0	0
321	1	data unknown	957.985	0	0
322	1	data unknown	1768.76	0	0
323	1	data unknown	2196.95	0	0
324	1	data unknown	1198.24	0	0
325	1	data unknown	882.324	0	0
326	1	data unknown	3084.58	0	0
327	1	data unknown	2232.35	0	0
328	1	data unknown	1418.63	0	0
329	1	data unknown	927.624	0	0
330	1	data unknown	1618.29	0	0
331	1	data unknown	2209.96	0	0
332	1	data unknown	1384.58	0	0
333	1	data unknown	1297.74	0	0
334	1	data unknown	587.46	0	0
335	1	data unknown	978.947	0	0
336	1	data unknown	1480.4	0	0
337	1	data unknown	3361.3	0	0
338	1	data unknown	3718.32	0	0
339	1	data unknown	1600.19	0	0
340	1	data unknown	710.243	0	0
341	1	data unknown	3656.32	0	0
342	1	data unknown	3394.56	0	0
343	1	data unknown	904.228	0	0
344	1	data unknown	1207.61	0	0
345	1	data unknown	3190.62	0	0
346	1	data unknown	905.033	0	0
347	1	data unknown	542.091	0	0
348	1	data unknown	648.266	0	0
349	1	data unknown	1210.47	0	0
350	1	data unknown	906.849	0	0
351	1	data unknown	1192.54	0	0
352	1	data unknown	2652.09	0	0
353	1	data unknown	955.597	0	0
354	1	data unknown	2009.44	0	0
355	1	data unknown	844.696	0	0
356	1	data unknown	553.265	0	0
357	1	data unknown	1076.87	0	0
358	1	data unknown	2409.68	0	0
359	1	data unknown	986.546	0	0
360	1	data unknown	812.389	0	0
361	1	data unknown	981.457	0	0
362	1	data unknown	58.9752	0	0
363	1	data unknown	1002.7	0	0
364	1	data unknown	1080.13	0	0
365	1	data unknown	1448.46	0	0
366	1	data unknown	257.759	0	0
367	1	data unknown	612.48	0	0
368	1	data unknown	759.186	0	0
369	1	data unknown	1453.21	0	0
370	1	data unknown	1117.91	0	0
371	1	data unknown	1058.48	0	0
372	1	data unknown	127.945	0	0
373	1	data unknown	2165.52	0	0
374	1	data unknown	2290.29	0	0
375	1	data unknown	798.756	0	0
376	1	data unknown	2528.12	0	0
377	1	data unknown	1186.63	0	0
378	1	data unknown	2742.42	0	0
379	1	data unknown	5200.56	0	0
380	1	data unknown	1806.35	0	0
381	1	data unknown	1396.29	0	0
382	1	data unknown	1157.04	0	0
383	1	data unknown	1645.69	0	0
384	1	data unknown	1649.03	0	0
385	1	data unknown	607.044	0	0
386	1	data unknown	758.854	0	0
387	1	data unknown	922.119	0	0
388	1	data unknown	1256.38	0	0
389	1	data unknown	1352.5	0	0
390	1	data unknown	2885.44	0	0
391	1	data unknown	953.827	0	0
392	1	data unknown	1606.85	0	0
393	1	data unknown	735.748	0	0
394	1	data unknown	876.312	0	0
395	1	data unknown	1224.89	0	0
396	1	data unknown	1341.34	0	0
397	1	data unknown	1343.05	0	0
398	1	data unknown	942.944	0	0
399	1	data unknown	1268.82	0	0
400	1	data unknown	1397.54	0	0
401	1	data unknown	2079.33	0	0
402	1	data unknown	900.005	0	0
403	1	data unknown	1046.92	0	0
404	1	data unknown	1040.86	0	0
405	1	data unknown	1838.07	0	0
406	1	data unknown	1984.52	0	0
407	1	data unknown	1123.54	0	0
408	1	data unknown	918.911	0	0
409	1	data unknown	512.871	0	0
410	1	data unknown	1374.6	0	0
411	1	data unknown	558.601	0	0
412	1	data unknown	1324.09	0	0
413	1	data unknown	835.575	0	0
414	1	data unknown	2937.8	0	0
415	1	data unknown	2399.24	0	0
416	1	data unknown	900.07	0	0
417	1	data unknown	599.495	0	0
418	1	data unknown	4418.55	0	0
419	1	data unknown	3642.23	0	0
420	1	data unknown	1362.29	0	0
421	1	data unknown	793.705	0	0
422	1	data unknown	3171.44	0	0
423	1	data unknown	202.56	0	0
424	1	data unknown	1282	0	0
425	1	data unknown	579.426	0	0
426	1	data unknown	1142.4	0	0
427	1	data unknown	803.028	0	0
428	1	data unknown	7528.24	0	0
429	1	data unknown	886.139	0	0
430	1	data unknown	2403.52	0	0
431	1	data unknown	412.102	0	0
432	1	data unknown	990.086	0	0
433	1	data unknown	1358.96	0	0
434	1	data unknown	521.614	0	0
435	1	data unknown	1220.37	0	0
436	1	data unknown	979.496	0	0
437	1	data unknown	1020.94	0	0
438	1	data unknown	874.546	0	0
439	1	data unknown	742.973	0	0
440	1	data unknown	1118.89	0	0
441	1	data unknown	693.573	0	0
442	1	data unknown	2006.56	0	0
443	1	data unknown	793.049	0	0
444	1	data unknown	3035.06	0	0
445	1	data unknown	775.215	0	0
446	1	data unknown	954.147	0	0
447	1	data unknown	1794.01	0	0
448	1	data unknown	1752.04	0	0
449	1	data unknown	529.408	0	0
450	1	data unknown	1161.02	0	0
451	1	data unknown	597.992	0	0
452	1	data unknown	1001.19	0	0
453	1	data unknown	2507.32	0	0
454	1	data unknown	2613.95	0	0
455	1	data unknown	1221.61	0	0
456	1	data unknown	1538.48	0	0
457	1	data unknown	1014.64	0	0
458	1	data unknown	1306.42	0	0
459	1	data unknown	1214.9	0	0
460	1	data unknown	1158.7	0	0
461	1	data unknown	900.105	0	0
462	1	data unknown	2270.55	0	0
463	1	data unknown	693.1	0	0
464	1	data unknown	2681.41	0	0
465	1	data unknown	3924.05	0	0
466	1	data unknown	1177.38	0	0
467	1	data unknown	1808.14	0	0
468	1	data unknown	1715.08	0	0
469	1	data unknown	1695.18	0	0
470	1	data unknown	557.083	0	0
471	1	data unknown	364.265	0	0
472	1	data unknown	530.533	0	0
473	1	data unknown	821.571	0	0
474	1	data unknown	5577.18	0	0
475	1	data unknown	1413.71	0	0
476	1	data unknown	5031.89	0	0
477	1	data unknown	653.683	0	0
478	1	data unknown	944.626	0	0
479	1	data unknown	3103.13	0	0
480	1	data unknown	404.358	0	0
481	1	data unknown	4352.44	0	0
482	1	data unknown	5757.58	0	0
483	1	data unknown	1649.01	0	0
484	1	data unknown	1037.08	0	0
485	1	data unknown	1671.32	0	0
486	1	data unknown	1069.98	0	0
487	1	data unknown	557.865	0	0
488	1	data unknown	915.024	0	0
489	1	data unknown	1554.95	0	0
490	1	data unknown	3283.32	0	0
491	1	data unknown	858.452	0	0
492	1	data unknown	822.929	0	0
493	1	data unknown	1078	0	0
494	1	data unknown	532.173	0	0
495	1	data unknown	589.302	0	0
496	1	data unknown	1261.75	0	0
497	1	data unknown	2433.31	0	0
498	1	data unknown	569.183	0	0
499	1	data unknown	1840.74	0	0
500	1	data unknown	2387.05	0	0
501	1	data unknown	848.457	0	0
502	1	data unknown	381.66	0	0
503	1	data unknown	1073.71	0	0
504	1	data unknown	1605.38	0	0
505	1	data unknown	630.913	0	0
506	1	data unknown	2240.02	0	0
507	1	data unknown	933.979	0	0
508	1	data unknown	1208.18	0	0
509	1	data unknown	2805.64	0	0
510	1	data unknown	693.645	0	0
511	1	data unknown	721.962	0	0
512	1	data unknown	1851.98	0	0
513	1	data unknown	689.732	0	0
514	1	data unknown	720.623	0	0
515	1	data unknown	4846.39	0	0
516	1	data unknown	1103.19	0	0
517	1	data unknown	1820.18	0	0
518	1	data unknown	1999.77	0	0
519	1	data unknown	1610.78	0	0
520	1	data unknown	567.837	0	0
521	1	data unknown	1863.54	0	0
522	1	data unknown	751.16	0	0
523	1	data unknown	1336.23	0	0
524	1	data unknown	699.409	0	0
525	1	data unknown	1919.49	0	0
526	1	data unknown	1015.65	0	0
527	1	data unknown	555.79	0	0
528	1	data unknown	1797.73	0	0
529	1	data unknown	2551.72	0	0
530	1	data unknown	1968.65	0	0
531	1	data unknown	1553.61	0	0
532	1	data unknown	527.576	0	0
533	1	data unknown	520.264	0	0
534	1	data unknown	1104.73	0	0
535	1	data unknown	522.152	0	0
536	1	data unknown	776.764	0	0
537	1	data unknown	1043.38	0	0
538	1	data unknown	1439.59	0	0
539	1	data unknown	841.187	0	0
540	1	data unknown	1057.77	0	0
541	1	data unknown	3465.16	0	0
542	1	data unknown	1818.87	0	0
543	1	data unknown	1326.78	0	0
544	1	data unknown	1273.41	0	0
545	1	data unknown	3899.13	0	0
546	1	data unknown	758.64	0	0
547	1	data unknown	2275.88	0	0
548	1	data unknown	844.208	0	0
549	1	data unknown	1577.64	0	0
550	1	data unknown	1171.57	0	0
551	1	data unknown	1492.5	0	0
552	1	data unknown	532.249	0	0
553	1	data unknown	1750.74	0	0
554	1	data unknown	1891.61	0	0
555	1	data unknown	1359.23	0	0
556	1	data unknown	4429.84	0	0
557	1	data unknown	2360	0	0
558	1	data unknown	877.197	0	0
559	1	data unknown	1073.96	0	0
560	1	data unknown	1460.26	0	0
561	1	data unknown	1378.52	0	0
562	1	data unknown	1075.72	0	0
563	1	data unknown	1687.76	0	0
564	1	data unknown	607.796	0	0
565	1	data unknown	1562	0	0
566	1	data unknown	2816.22	0	0
567	1	data unknown	1435.28	0	0
568	1	data unknown	2180.14	0	0
569	1	data unknown	570.274	0	0
570	1	data unknown	981.911	0	0
571	1	data unknown	916.637	0	0
572	1	data unknown	3042.88	0	0
573	1	data unknown	1014.96	0	0
574	1	data unknown	972.851	0	0
575	1	data unknown	566.402	0	0
576	1	data unknown	191.498	0	0
577	1	data unknown	1289.14	0	0
578	1	data unknown	999.256	0	0
579	1	data unknown	1307.77	0	0
580	1	data unknown	592.289	0	0
581	1	data unknown	822.506	0	0
582	1	data unknown	3289.56	0	0
583	1	data unknown	5892.89	0	0
584	1	data unknown	2109.58	0	0
585	1	data unknown	580.479	0	0
586	1	data unknown	1220.01	0	0
587	1	data unknown	960.106	0	0
588	1	data unknown	142.593	0	0
589	1	data unknown	837.307	0	0
590	1	data unknown	2060.31	0	0
591	1	data unknown	1151.48	0	0
592	1	data unknown	2129.76	0	0
593	1	data unknown	1800.75	0	0
594	1	data unknown	658.676	0	0
595	1	data unknown	2918.79	0	0
596	1	data unknown	789.227	0	0
597	1	data unknown	1128.2	0	0
598	1	data unknown	359.802	0	0
599	1	data unknown	1176.7	0	0
600	1	data unknown	2310.54	0	0
601	1	data unknown	1984.72	0	0
602	1	data unknown	853.329	0	0
603	1	data unknown	2158.39	0	0
604	1	data unknown	2568.2	0	0
605	1	data unknown	2563.49	0	0
606	1	data unknown	650.402	0	0
607	1	data unknown	4344.52	0	0
608	1	data unknown	1077.26	0	0
609	1	data unknown	1388.93	0	0
610	1	data unknown	174.98	0	0
611	1	data unknown	859.772	0	0
612	1	data unknown	2218.71	0	0
613	1	data unknown	3418.7	0	0
614	1	data unknown	559.731	0	0
615	1	data unknown	564.751	0	0
616	1	data unknown	571.388	0	0
617	1	data unknown	1108.01	0	0
618	1	data unknown	628.99	0	0
619	1	data unknown	1037.36	0	0
620	1	data unknown	2386.94	0	0
621	1	data unknown	767.509	0	0
622	1	data unknown	1216.74	0	0
623	1	data unknown	764.935	0	0
